>EML4_ENST00000318522.9,chr2:42169350-42332548
3,47310276,47310362
4,47304889,47304996
5,47302234,47302346
6,47301561,47301748
7,47299905,47300152
8,47295765,47295848
9,47293458,47293544
10,47289435,47289585
11,47287551,47287660
12,47282345,47282459
13,47280241,47281209
14,47272076,47272241
15,47269635,47269866
16,47262903,47263113
17,47260289,47260539
18,47250139,47251922

>TAL1_ENST00000371884.6,chr1:47216290-47232220
1,47231657,47231715
2,47229196,47229351
3,47225443,47225889
4,47224004,47224098
5,47216290,47220174

>CD74_ENST00000009530.11,chr5:150401637-150412929
1,150412625,150412751
2,150407152,150407324
3,150406881,150406960
4,150406259,150406321
5,150405085,150405180
6,150404680,150404767
7,150403121,150403312
8,150402563,150402625
9,150402152,150402250

>ROS1_ENST00000368508.7,chr6:117288300-117425855
1,117425534,117425855
2,117418462,117418506
3,117416258,117416317
4,117409582,117409642
5,117404280,117404428
6,117403139,117403277
7,117396915,117397116
8,117396188,117396264
9,117394616,117394738
10,117394162,117394346
11,117393224,117393321
12,117389350,117389846
13,117387780,117388034
14,117386889,117386999
15,117385683,117385861
16,117383317,117383508
17,117379059,117379159
18,117366076,117366290
19,117365581,117365741
20,117365060,117365204
21,117362603,117362865
22,117360342,117360405
23,117359809,117360011
24,117357804,117358009
25,117356629,117356915
26,117352990,117353169
27,117344060,117344262
28,117342400,117342544
29,117341400,117341632
30,117341135,117341311
31,117337172,117337340
32,117329329,117329446
33,117326224,117326414
34,117324332,117324415
35,117321259,117321394
36,117319868,117320030
37,117318188,117318252
38,117317143,117317272
39,117311020,117311117
40,117310081,117310281
41,117308794,117308928
42,117300974,117301137
43,117288300,117288802

>PAX8_ENST00000429538.7,chr2:113215997-113278950
1,113278831,113278950
2,113278370,113278469
3,113246754,113246919
4,113244427,113244624
5,113242690,113242778
6,113242008,113242130
7,113241551,113241726
8,113236601,113236721
9,113235394,113235582
10,113227155,113227256
11,113220092,113220178
12,113215997,113218609

>PPARG_ENST00000397012.6,chr3:12287368-12434356
1,12288838,12289134
2,12312380,12312453
3,12379704,12379931
4,12381322,12381491
5,12392614,12392752
6,12405882,12406081
7,12416704,12417154
8,12433898,12434344

>KIAA1549_ENST00000440172.5,chr7:138831381-138981318
1,138981083,138981318
2,138916748,138919438
3,138912372,138912460
4,138911146,138911323
5,138908991,138909121
6,138906919,138907102
7,138905022,138905081
8,138903588,138903736
9,138898955,138899132
10,138894342,138894526
11,138881388,138881584
12,138879538,138879653
13,138871157,138871362
14,138869538,138869761
15,138867975,138868128
16,138861139,138861456
17,138852223,138852269
18,138844317,138844474
19,138840133,138840278
20,138831381,138838112

>BRAF_ENST00000288602.10,chr7:140719327-140924764
1,140924566,140924764
2,140850111,140850212
3,140834609,140834872
4,140808892,140808995
5,140807960,140808062
6,140801412,140801560
7,140800362,140800481
8,140794308,140794467
9,140787548,140787584
10,140783021,140783157
11,140781576,140781693
12,140777991,140778075
13,140776912,140777088
14,140754187,140754233
15,140753275,140753393
16,140749287,140749418
17,140739812,140739946
18,140734479,140734770

>SLC34A2_ENST00000382051.7,chr4:25655301-25678748
1,25655844,25655890
2,25662498,25662612
3,25662705,25662842
4,25664202,25664330
5,25666128,25666271
6,25667880,25667991
7,25669647,25669842
8,25670738,25670833
9,25671601,25671721
10,25673087,25673254
11,25674296,25674412
12,25674505,25674629
13,25676135,25678748

>NPM1_ENST00000296930.9,chr5:171387116-171411137
1,171387648,171388006
2,171390051,171390130
3,171391305,171391424
4,171391706,171391799
5,171392710,171392816
6,171392914,171392978
7,171400153,171400210
8,171400839,171400925
9,171405302,171405403
10,171407700,171407774
11,171410527,171411137

>SS18_ENST00000269137.11,chr18:26016253-26091217
1,26090501,26090901
2,26087501,26087577
3,26078076,26078160
4,26057589,26057742
5,26052624,26052845
6,26039289,26039456
7,26038555,26038659
8,26035005,26035127
9,26032399,26032532
10,26018014,26018380

>SSX2_ENST00000336777.9,chrX:52644567-52707189
1,52707112,52707161
2,52705681,52705769
3,52705128,52705242
4,52704497,52704592
5,52702581,52702630
6,52700443,52700578
7,52698786,52698931
8,52697984,52698088
9,52696896,52697518

>SSX1_ENST00000376919.3,chrX:48255317-48267444
1,48255317,48255432
2,48257222,48257310
3,48257746,48257860
4,48258536,48258631
5,48261766,48261815
6,48263782,48263917
7,48266287,48266391
8,48266854,48267444

>PAX3_ENST00000344493.8,chr2:222199888-222298996
1,222298531,222298996
2,222296978,222297213
3,222295528,222295657
4,222294167,222294301
5,222232078,222232283
6,222221222,222221387
7,222220140,222220354
8,222199888,222201442

>FOXO1_ENST00000379561.5,chr13:40555667-40666597
1,40665583,40666597
2,40559509,40560860
3,40555667,40559034

>PRKAR1A_ENST00000589228.5,chr17:68511780-68551319
1,68512427,68512548
2,68515394,68515576
3,68522756,68522926
4,68523725,68523816
5,68524016,68524077
6,68524912,68524958
7,68525754,68525912
8,68527840,68527900
9,68528870,68528991
10,68529920,68530001
11,68530277,68533431

>EZR_ENST00000367075.3,chr6:158765741-158819412
1,158819317,158819412
2,158818082,158818166
3,158789288,158789371
4,158787108,158787203
5,158785309,158785583
6,158784644,158784727
7,158783520,158783666
8,158776408,158776504
9,158771244,158771407
10,158770764,158770894
11,158769784,158769944
12,158769326,158769418
13,158767261,158767512
14,158765748,158767078

>ETV1_ENST00000430479.5,chr7:13891228-13991425
1,13989563,13989946
2,13989268,13989464
3,13989008,13989139
4,13988086,13988173
5,13986638,13986685
6,13977427,13977480
7,13939117,13939246
8,13935708,13935896
9,13931502,13931749
10,13911239,13911307
11,13909632,13909700
12,13906430,13906599
13,13900738,13900839
14,13891228,13896087

>NTRK3_ENST00000394480.6,chr15:87859751-88256768
1,88256644,88256747
2,88256284,88256486
3,88255906,88256168
4,88184225,88184299
5,88183418,88183489
6,88147335,88147403
7,88137404,88137561
8,88136467,88136609
9,88135899,88136040
10,88135101,88135397
11,88128711,88128734
12,88127162,88127226
13,88126271,88126373
14,88032857,88033045
15,87940623,87940753
16,87933012,87933184
17,87929191,87929434
18,87880270,87880428
19,87859751,87877120

>PAX7_ENST00000375375.7,chr1:18631006-18748866
1,18631006,18631688
2,18634303,18634538
3,18635111,18635240
4,18636237,18636371
5,18691754,18691953
6,18700653,18700818
7,18703094,18703296
8,18735632,18736138

>NRG1_ENST00000520407.5,chr8:31639386-32767959
1,31639755,31640729
2,32595828,32596005
3,32605562,32605683
4,32727949,32728078
5,32742675,32743224

>NUP214_ENST00000359428.9,chr9:131125561-131234670
1,131125561,131125749
2,131127524,131127719
3,131128332,131128483
4,131129279,131129477
5,131130766,131130836
6,131132596,131132659
7,131133106,131133209
8,131134898,131135004
9,131135940,131136006
10,131139281,131139407
11,131140549,131140710
12,131144280,131144754
13,131146129,131146304
14,131147490,131147584
15,131150324,131150410
16,131150616,131150765
17,131151736,131151894
18,131159383,131159486
19,131162991,131163173
20,131163870,131163955
21,131164061,131164144
22,131174055,131174318
23,131175460,131175621
24,131178311,131178410
25,131187289,131187364
26,131189053,131189131
27,131192208,131192292
28,131195233,131195294
29,131197216,131199015
30,131201647,131201717
31,131215212,131215368
32,131222778,131222930
33,131228160,131228331
34,131230630,131230769
35,131232284,131232308
36,131233454,131234670

>YWHAE_ENST00000264335.12,chr17:1344272-1400378
1,1400047,1400378
2,1364859,1365058
3,1361902,1362008
4,1361092,1361298
5,1354211,1354347
6,1344272,1345499

>NUTM2B_ENST00000372321.5,chr10:79703227-79714681
1,79703279,79703991
2,79706042,79706741
3,79708699,79708827
4,79709800,79709939
5,79710382,79710764
6,79711250,79711366
7,79712894,79714681

>SDC4_ENST00000372733.3,chr20:45325288-45348424
1,45348325,45348424
2,45335782,45335920
3,45333023,45333069
4,45330366,45330564
5,45325288,45327415

>LRIG3_ENST00000379141.8,chr12:58872149-58920522
1,58919427,58919546
2,58914265,58914336
3,58913982,58914056
4,58890665,58890796
5,58889996,58890139
6,58888819,58888962
7,58888329,58888472
8,58887789,58887932
9,58886810,58886890
10,58885831,58885902
11,58883520,58883591
12,58882869,58883032
13,58880581,58880901
14,58878824,58879105
15,58877400,58877852
16,58876445,58876603
17,58874430,58874573
18,58874055,58874330
19,58872149,58872816

>MLLT1_ENST00000252674.8,chr19:6210379-6279948
1,6279773,6279948
2,6270579,6270759
3,6262228,6262310
4,6230570,6230713
5,6226977,6227102
6,6222121,6222684
7,6217954,6218041
8,6216405,6216513
9,6213939,6214038
10,6213726,6213797
11,6213337,6213408
12,6210379,6213170

>CRTC1_ENST00000338797.10,chr19:18683677-18782333
1,18683678,18683828
2,18742910,18743026
3,18744108,18744155
4,18745823,18745960
5,18747053,18747114
6,18749781,18749875
7,18753500,18753585
8,18759551,18759591
9,18760008,18760228
10,18765404,18765528
11,18768485,18768793
12,18771442,18771546
13,18774900,18774986
14,18775641,18775821
15,18777171,18782333

>MAML2_ENST00000524717.5,chr11:95976598-96343180
1,96341383,96343180
2,96091892,96093517
3,95991520,95991723
4,95985531,95985642
5,95976598,95979963

>TPM3_ENST00000368530.6,chr1:154155304-154194648
1,154191902,154192211
2,154191186,154191311
3,154176115,154176248
4,154173084,154173201
5,154172908,154172978
6,154171413,154171488
7,154170649,154170711
8,154170400,154170469
9,154169305,154169383
10,154167465,154167940

>NTRK1_ENST00000392302.6,chr1:156815640-156881850
1,156815656,156815838
2,156842081,156842193
3,156864354,156864428
4,156864728,156864799
5,156866910,156866978
6,156868104,156868249
7,156868505,156868647
8,156871623,156871755
9,156873633,156873959
10,156874571,156874626
11,156874906,156875008
12,156875520,156875666
13,156876080,156876210
14,156876400,156876572
15,156879122,156879362
16,156879999,156880157
17,156881457,156881794

>FUS_ENST00000254108.11,chr16:31180110-31194871
1,31180110,31180227
2,31182398,31182422
3,31182513,31182664
4,31183858,31184002
5,31184209,31184396
6,31184939,31185179
7,31186802,31186836
8,31188325,31188357
9,31189123,31189226
10,31189665,31189794
11,31190040,31190141
12,31190275,31190398
13,31190742,31190842
14,31190963,31191110
15,31191399,31194871

>DDIT3_ENST00000346473.7,chr12:57516588-57520517
1,57520418,57520517
2,57517706,57517753
3,57517269,57517438
4,57516593,57517180

>PML_ENST00000268058.7,chr15:73994673-74047812
1,73994717,73994941
2,73998004,73998476
3,74022828,74023408
4,74024857,74024927
5,74032572,74032715
6,74033156,74033414
7,74034478,74034530
8,74042989,74043139
9,74044221,74046771

>RARA_ENST00000254066.9,chr17:40309192-40357643
1,40309194,40309286
2,40330857,40331396
3,40348316,40348464
4,40349784,40349925
5,40351910,40352070
6,40352331,40352507
7,40354302,40354506
8,40355263,40355421
9,40356009,40356796

>STRN_ENST00000263918.8,chr2:36843640-36966472
1,36966230,36966472
2,36925105,36925208
3,36916078,36916151
4,36905540,36905618
5,36902584,36902751
6,36899523,36899658
7,36893898,36894033
8,36886716,36886826
9,36883932,36884075
10,36877891,36878027
11,36869554,36869729
12,36867814,36867861
13,36861132,36861253
14,36857856,36858023
15,36855212,36855352
16,36851000,36851107
17,36849714,36849800
18,36843640,36849625

>CBFA2T3_ENST00000268679.8,chr16:88874858-88977204
1,88976657,88977204
2,88901504,88901656
3,88898078,88898152
4,88892244,88892485
5,88891882,88891971
6,88885961,88886142
7,88885046,88885269
8,88882676,88882761
9,88881291,88881489
10,88880720,88880788
11,88879270,88879460
12,88874858,88877275

>GLIS2_ENST00000262366.7,chr16:4314761-4339597
1,4314761,4315455
2,4329110,4329169
3,4332215,4332452
4,4333347,4333519
5,4334801,4334977
6,4335060,4335193
7,4335275,4335393
8,4336725,4339597

>TFG_ENST00000240851.8,chr3:100709331-100748966
1,100709425,100709721
2,100713643,100713869
3,100719975,100720058
4,100728712,100728858
5,100732508,100732672
6,100736576,100736716
7,100744833,100744931
8,100748149,100748966

>SET_ENST00000372692.8,chr9:128683424-128696400
1,128683655,128684007
2,128691170,128691227
3,128691858,128692000
4,128692662,128692765
5,128692868,128692981
6,128693638,128693808
7,128693896,128694042
8,128694641,128696400

>ETV4_ENST00000319349.9,chr17:43527844-43579620
1,43546185,43546432
2,43545558,43545668
3,43545274,43545367
4,43544975,43545022
5,43536426,43536479
6,43533859,43533985
7,43533187,43533348
8,43532674,43532939
9,43530107,43530181
10,43529884,43529952
11,43529504,43529676
12,43529135,43529236
13,43527844,43528743

>COL1A1_ENST00000225964.9,chr17:50183289-50201632
1,50201411,50201632
2,50199753,50199947
3,50199556,50199590
4,50199418,50199453
5,50199226,50199327
6,50198433,50198504
7,50198161,50198205
8,50197949,50198002
9,50197732,50197785
10,50197180,50197233
11,50197010,50197063
12,50196617,50196670
13,50196484,50196528
14,50196314,50196367
15,50196155,50196199
16,50195923,50195976
17,50195567,50195665
18,50195434,50195478
19,50195232,50195330
20,50195047,50195100
21,50194721,50194828
22,50194573,50194626
23,50194349,50194447
24,50194130,50194183
25,50193943,50194041
26,50192994,50193047
27,50192797,50192850
28,50192640,50192693
29,50192475,50192528
30,50191980,50192024
31,50191788,50191886
32,50191383,50191490
33,50190817,50190924
34,50190543,50190596
35,50190327,50190380
36,50190001,50190108
37,50189859,50189912
38,50189679,50189732
39,50189377,50189538
40,50189168,50189275
41,50188903,50189010
42,50188742,50188795
43,50188530,50188637
44,50188096,50188149
45,50187876,50187983
46,50187484,50187537
47,50187015,50187122
48,50186640,50186922
49,50186317,50186507
50,50185778,50186020
51,50183289,50185648

>PDGFB_ENST00000331163.10,chr22:39223359-39244751
1,39243901,39244751
2,39235778,39235874
3,39233435,39233524
4,39231622,39231827
5,39230084,39230228
6,39225695,39225847
7,39223359,39225313

>MLLT3_ENST00000380338.8,chr9:20341665-20622543
1,20622245,20622543
2,20620654,20620834
3,20456704,20456786
4,20448123,20448266
5,20413721,20414425
6,20365669,20365744
7,20363476,20363605
8,20360742,20360841
9,20354808,20354879
10,20353525,20353596
11,20341665,20346574

>TPM3_ENST00000368530.6,chr1:154155304-154194648
1,154191902,154192211
2,154191186,154191311
3,154176115,154176248
4,154173084,154173201
5,154172908,154172978
6,154171413,154171488
7,154170649,154170711
8,154170400,154170469
9,154169305,154169383
10,154167465,154167940

>ATF1_ENST00000262053.7,chr12:50763710-50821122
1,50764292,50764307
2,50780140,50780238
3,50795909,50796009
4,50809456,50809589
5,50814010,50814192
6,50814280,50814439
7,50819635,50821122

>CREB3L2_ENST00000330387.10,chr7:137874979-138002067
1,138001604,138002057
2,137928150,137928366
3,137915837,137916012
4,137912991,137913078
5,137908252,137908436
6,137905702,137905848
7,137903959,137904017
8,137901354,137901422
9,137885403,137885502
10,137884995,137885121
11,137882412,137882628
12,137874979,137880551

>FGFR3_ENST00000260795.6,chr4:1793307-1808872
1,1793833,1794043
2,1799254,1799523
3,1799747,1799812
4,1801367,1801536
5,1801620,1801743
6,1801835,1802025
7,1803692,1803836
8,1804330,1804520
9,1804824,1804969
10,1805355,1805476
11,1805559,1805669
12,1805750,1805940
13,1806051,1806173
14,1806257,1806327
15,1806546,1806683
16,1806829,1806934
17,1807116,1808871

>TACC3_ENST00000313288.8,chr4:1721490-1745176
1,1721539,1721643
2,1723421,1723583
3,1723728,1723870
4,1727708,1728787
5,1730887,1730962
6,1731172,1731301
7,1735273,1735325
8,1735731,1735834
9,1737241,1737328
10,1737598,1737702
11,1739702,1739778
12,1739959,1740002
13,1740826,1740986
14,1744518,1744624
15,1744712,1744832
16,1744948,1745171

>CRTC3_ENST00000268184.10,chr15:90529925-90645345
1,90530068,90530203
2,90540039,90540137
3,90593636,90593755
4,90602324,90602385
5,90604385,90604447
6,90607378,90607478
7,90614453,90614488
8,90617883,90617968
9,90619741,90619790
10,90625776,90625993
11,90629234,90629532
12,90638446,90638646
13,90638735,90638815
14,90641097,90641199
15,90641932,90642813

>HMGA2_ENST00000403681.6,chr12:65824131-65966295
1,65824131,65825381
2,65828001,65828087
3,65838519,65838569
4,65951383,65951415
5,65963245,65966295

>LPP_ENST00000618621.4,chr3:188153284-188890671
1,188212933,188213046
2,188225405,188225527
3,188406112,188406313
4,188484592,188484704
5,188524665,188524787
6,188609161,188609844
7,188708267,188708393
8,188760113,188760282
9,188866200,188866378
10,188872643,188872763
11,188874351,188890671

>KLC1_ENST00000348520.10,chr14:103561896-103714249
1,103629177,103629494
2,103654564,103654825
3,103657546,103657776
4,103662116,103662194
5,103662702,103662927
6,103669511,103669598
7,103670182,103670283
8,103673014,103673187
9,103673332,103673431
10,103675552,103675601
11,103675689,103675756
12,103677415,103677523
13,103679384,103679545
14,103700655,103700727
15,103701201,103714249

>NAB2_ENST00000300131.7,chr12:57088894-57095476
1,57088894,57089354
2,57091125,57091998
3,57092448,57092581
4,57092917,57092968
5,57093063,57093195
6,57093407,57093598
7,57094612,57095476

>STAT6_ENST00000300134.7,chr12:57095408-57132139
1,57111129,57111433
2,57108163,57108299
3,57107605,57107743
4,57107231,57107314
5,57106693,57106831
6,57106528,57106580
7,57106191,57106339
8,57105468,57105599
9,57105151,57105339
10,57104726,57104813
11,57104464,57104586
12,57102829,57102921
13,57102290,57102496
14,57099996,57100090
15,57099767,57099903
16,57099294,57099440
17,57099015,57099078
18,57098792,57098902
19,57098505,57098597
20,57097068,57097133
21,57096850,57096978
22,57095408,57096761

>AKAP9_ENST00000356239.7,chr7:91940867-92110673
1,91940867,91941147
2,91973711,91973968
3,91980289,91980333
4,91992158,91992211
5,91992885,91993055
6,91994621,91994776
7,91995603,91995800
8,92000848,92003235
9,92012429,92012642
10,92014249,92014328
11,92016129,92016267
12,92017017,92017102
13,92022238,92022352
14,92022814,92023009
15,92029895,92029991
16,92031512,92031604
17,92038419,92038772
18,92040674,92040898
19,92042046,92042186
20,92042668,92042771
21,92045008,92045213
22,92052726,92052958
23,92061260,92061422
24,92062274,92062486
25,92065231,92065463
26,92066427,92066546
27,92070030,92070206
28,92070905,92071009
29,92076855,92077007
30,92077696,92077875
31,92079079,92080152
32,92082522,92082662
33,92083170,92083655
34,92084640,92084703
35,92084819,92084940
36,92085495,92085686
37,92086228,92086416
38,92089385,92089529
39,92093097,92093316
40,92095023,92095173
41,92096689,92097357
42,92097586,92097794
43,92098109,92098214
44,92099687,92099869
45,92100856,92101056
46,92102594,92102826
47,92105678,92105763
48,92107293,92107422
49,92108494,92108633
50,92110122,92110673

>GOLGA5_ENST00000163416.6,chr14:92794231-92839963
1,92794231,92794456
2,92797408,92797981
3,92806736,92806963
4,92809300,92809519
5,92810254,92810377
6,92811551,92811754
7,92816251,92816421
8,92819708,92819836
9,92824546,92824644
10,92833122,92833347
11,92835559,92835664
12,92837386,92837449
13,92839366,92839963

>WT1_ENST00000332351.7,chr11:32387775-32435630
1,32434700,32435630
2,32428497,32428619
3,32427956,32428058
4,32417577,32417654
5,32416490,32416540
6,32399948,32400044
7,32396257,32396407
8,32392666,32392755
9,32391972,32392064
10,32387775,32389179

>SLC45A3_ENST00000367145.3,chr1:205657851-205680459
1,205680394,205680459
2,205664485,205664886
3,205662833,205663618
4,205661861,205662126
5,205657851,205659671

>SSX4_ENST00000595689.2,chrX:48383516-48393347
1,48383527,48383564
2,48384034,48384122
3,48384561,48384675
4,48385352,48385447
5,48387311,48387360
6,48389346,48389481
7,48391869,48391973
8,48392756,48393347

>GOPC_ENST00000052569.10,chr6:117560269-117602542
1,117602004,117602528
2,117578900,117579064
3,117575177,117575352
4,117573467,117573632
5,117570860,117570955
6,117569572,117569736
7,117566854,117567034
8,117560269,117563384

>CREB3L1_ENST00000621158.4,chr11:46277661-46321422
1,46277661,46278213
2,46299935,46300163
3,46307816,46308000
4,46309989,46310067
5,46311032,46311189
6,46312325,46312474
7,46312612,46312670
8,46312851,46312919
9,46316286,46316385
10,46317361,46317487
11,46320264,46320528
12,46320710,46321422

>ASPSCR1_ENST00000306739.8,chr17:81976807-82017406
1,81977550,81977748
2,81979184,81979239
3,81983554,81983668
4,81985507,81985607
5,81994821,81994878
6,81995992,81996065
7,81996420,81996846
8,82009037,82009191
9,82009486,82009567
10,82010802,82010868
11,82011543,82011605
12,82012231,82012283
13,82016476,82016527
14,82016800,82016869
15,82016941,82017113
16,82017309,82017406

>TFE3_ENST00000315869.7,chrX:49028726-49043486
1,49043111,49043486
2,49040455,49040568
3,49039107,49039410
4,49038197,49038442
5,49038010,49038114
6,49034134,49034251
7,49033726,49033782
8,49033465,49033540
9,49031397,49031544
10,49028731,49030601

>HNRNPA2B1_ENST00000354667.8,chr7:26189927-26201529
1,26200572,26200746
2,26197831,26197866
3,26197622,26197732
4,26197315,26197461
5,26196807,26197017
6,26196557,26196658
7,26196401,26196481
8,26195847,26195909
9,26193575,26193694
10,26193251,26193373
11,26192495,26192577
12,26189927,26192338

